SMILES
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2.[Na+]
O=C1CC(=O)N(CC2=CC=CO2)C(=O)N1
CN1C=NN=C2C(=O)N(C)C(=O)N=C12
CC1=CC=C(NC(=O)CN2C(=O)S\C(=C\C3=CC=C(O3)C4=CC(=CC=C4C)C(O)=O)C2=O)C=C1C
OC(=O)C1=CC(=CC=C1)N2C=CC=C2\C=C3\SC(=O)N(CC4=CC=CC=C4C#N)C3=O
CC1=CC=C(NC(=O)CN2C(=O)S\C(=C/C3=CC=CN3C4=CC=CC(=C4)C(O)=O)C2=O)C(C)=C1
CC(N1C(=S)S\C(=C/C=C/C2=CC=CO2)C1=O)C(O)=O
OC(=O)C1=CC=C(NC(=O)CSC2=NC(=NC3=C2CC4=CC=CC=C4O3)C5=CC=C(F)C=C5)C=C1
CC1=C(C#N)C2=NC(N)=C(C#N)C(C)=C2\C1=C/C3=CC=C(O3)C4=CC=CC=C4C(O)=O
COC1=CC=C(CN2C(=O)NC(=O)\C(=C/C3=CC=CO3)C2=O)C=C1
FC1=CC=C(CN2C(=O)NC(=O)\C(=C\C3=COC=C3)C2=O)C=C1
CC1=CC=C(C=C1NC(=S)NC(=O)C2=CC=C(COC3=CC=CC=C3)C=C2)C(O)=O
CC1=N[N](C2=CC=C(C=C2)[S+](O)([O-])=O)C3=C1\N=[N+]4/[Cu-4](OC5=C4C=CC(=C5)C6=CC7=C(C=C6)\N=[N+]8/[Cu-4](O7)OC9=C%10C(=C(C=C(C%10=CC=C89)[S+](O)([O-])=O)[S+](O)([O-])=O)N)O3
ClC1=CC=C(C=C1)C(C2=CC=C(Cl)C=C2)[N+]3=C[N](CC(OCC4=C(Cl)C=C(Cl)C=C4)C5=C(Cl)C=C(Cl)C=C5)C=C3
CC(C)=CCC\C(C)=C\CC\C(C)=C\CSC1=C(C=CC=C1)C(O)=O
CC(C)(SC1=CC=C(CCN(CCCCC2CCCCC2)C(=O)NC3CCCCC3)C=C1)C(O)=O
CC1(C)CC\C2=C(/O1)C3=C(C=CC=C3)C(=O)C2=O
CC1(C)CC\C2=C(/O1)C3=C(C=CC=C3)C(=O)C2=O
OCCS\C1=C(/SCCO)C(=O)C2=C(C=CC=C2)C1=O
[H][C@]12[C@]3([H])C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@]4([H])[C@@]3(O)[C@H](C)[C@@H](OC(=O)CCCCCCCCCCCCC)[C@@]1(OC(C)=O)C2(C)C
CCCCCCCCCCCCCCSCC(O)=O
